,Group,Point,mean_rank,measures
660,ST023,F0604,37.5,2
661,ST023,F0605,28.5,2
662,ST023,R028,40.0,2
663,ST023,R030,38.5,2
664,ST023,R033,32.5,2
665,ST023,R035,30.5,2
666,ST023,R045,24.0,2
667,ST023,R046,27.0,2
668,ST023,R048,33.5,2
669,ST023,R052,23.0,2
670,ST023,R059,43.0,2
671,ST029,F0604,15.0,2
672,ST029,F0605,29.0,2
673,ST029,F0702,26.5,2
674,ST029,F0903,43.5,2
675,ST029,R059,163.5,2
676,ST029,R064,137.0,2
677,ST029,R085,151.0,2
678,ST74,F0101,15.5,2
679,ST74,F0102,27.5,2
680,ST74,L1204,66.0,1
681,ST74,R004,16.0,2
682,ST74,R1114,46.5,2
683,ST039,L1026,25.0,2
684,ST039,L1044,12.5,2
685,ST039,L1046,28.5,2
686,ST007,F0302,33.5,2
687,ST007,F0402,75.5,2
688,ST007,F0503,65.5,2
689,ST007,F0505,64.5,2
690,ST007,R024,44.5,2
691,ST007,R027,74.0,2
692,ST007,R028,99.5,2
693,ST007,R029,50.0,2
694,ST007,R030,49.5,2
695,ST007,R033,84.0,2
696,ST007,R035,64.5,2
697,ST007,R038,93.0,2
698,ST007,R045,99.5,2
699,ST007,R046,111.0,2
700,ST007,R048,98.0,2
701,ST007,R052,101.0,2
702,ST024,F0302,26.5,2
703,ST024,F0402,46.5,2
704,ST024,F0503,34.0,2
705,ST024,F0505,14.5,2
706,ST024,F0604,30.5,2
707,ST024,F0605,15.0,2
708,ST024,R024,21.0,2
709,ST024,R028,54.5,2
710,ST024,R030,46.5,2
711,ST024,R033,28.0,2
712,ST024,R035,53.5,2
713,ST024,R038,39.5,2
714,ST024,R045,13.0,2
715,ST024,R046,20.0,2
716,ST024,R048,16.5,2
717,ST024,R052,18.0,2
718,ST78,F0302,30.0,2
719,ST78,L0110,27.5,2
720,ST78,L0111,32.0,2
721,ST78,L1233,56.5,2
722,ST78,R004,64.5,2
723,ST78,R020,36.5,2
724,ST78,R024,32.0,2
725,ST78,R027,39.0,2
726,ST78,R028,44.5,2
727,ST78,R029,26.0,2
728,ST79,F0402,20.5,2
729,ST79,L0209,35.0,2
730,ST79,L0210,36.0,2
731,ST79,L0301,75.0,2
732,ST79,L0302,75.0,2
733,ST79,L0304,80.5,2
734,ST79,L0305,51.0,2
735,ST79,R028,52.5,2
736,ST79,R033,45.5,2
737,ST79,R035,27.5,2
738,ST80,F0402,14.5,2
739,ST80,L0209,24.5,2
740,ST80,L0210,26.5,2
741,ST80,L0301,57.5,2
742,ST80,L0302,63.5,2
743,ST80,R020,53.0,2
744,ST80,R027,57.5,2
745,ST80,R028,47.0,2
746,ST80,R033,38.5,2
747,ST80,R035,10.5,2
748,ST80,R046,25.0,2
749,ST81,F0402,29.5,2
750,ST81,L0209,33.5,2
751,ST81,L0210,31.0,2
752,ST81,L0304,29.0,2
753,ST81,L0305,24.5,2
754,ST81,R028,56.5,2
755,ST81,R033,40.5,2
756,ST81,R035,20.0,2
757,ST81,R046,30.5,2
758,ST62,F0903,75.0,2
759,ST62,L0742,54.5,2
760,ST62,R067,25.0,2
761,ST62,R068,29.0,2
762,ST62,R078,100.5,2
763,ST62,R079,32.0,2
764,ST62,R083,76.5,2
765,ST052,L0821,48.0,2
766,ST052,L0823,69.0,2
767,ST052,L0824,98.0,2
768,ST052,L0825,62.5,2
769,ST052,L0901,89.5,2
770,ST052,L0902,146.0,2
771,ST052,L0904,110.5,2
772,ST052,L0905,52.75,4
773,ST67,F0903,30.5,2
774,ST67,F0904,38.0,2
775,ST67,F1001,39.0,2
776,ST67,L0823,37.5,2
777,ST67,L0824,46.5,2
778,ST67,R079,40.5,2
779,ST67,R085,69.5,2
780,ST67,R098,21.0,2
781,ST68,F0904,70.5,2
782,ST68,F1001,64.0,2
783,ST68,L0823,43.0,2
784,ST68,L0824,76.0,2
785,ST68,L0901,56.0,2
786,ST68,L0902,93.0,2
787,ST68,L0906,25.5,2
788,ST68,L1063,60.5,2
789,ST68,R079,37.5,2
